Location,Rating,Comment,Transaction Date and Time,Transaction Value,feedback_id,,
Oamaru  ,5,They always remember my order and are super friendly,19/10/2024 9:34:00 AM,$6.30,4977110,,
Bethlehem,5,"My husband loved his date scone, he said it was the best he had had in a long while. My bacon and egg small cake also was delicious and we both enjoyed the coffee which is always good. We don't have a ABCs in Papamoa but we also visit Gate Pa and always have a coffee and cake there too. Nice staff as well, greeted with a smile. Thanks Carol",21/10/2024 11:17:00 AM,$22.30,4977112,,
Whangarei  ,5,Quick service.,21/10/2024 8:56:00 AM,$19.70,4977114,,
Ferryhead,5,"The people that work there, always friendly and make you feel welcome.",20/10/2024 9:58:00 AM,$15.10,4977116,,
Whakatane,5,The food was lovely & staff were very pleasant & helpful,21/10/2024 8:38:00 AM,$9.40,4977117,,
Rotorua,3,Not a large selection of cabinet food.,21/10/2024 11:36:00 AM,$14.80,4977118,,
Glenfield ,5,"Lovely food, great service and very clean premises.",21/10/2024 12:45:00 PM,$43.60,4977120,,
Auckland Central,4,Faster serve time. There wasn't even a greeting upon entrance to the store.,21/10/2024 9:26:00 AM,$4.95,4977123,,
Marlborough  ,5,Yummy coffee and food,21/10/2024 10:52:00 AM,$12.80,4977128,,
Porirua  ,5,Service coffee and food,20/10/2024 11:49:00 AM,$4.50,4977132,,
Masterton  ,5,The great customer service I got from the front of service ladies. Brenda and Emma are fabulous.,20/10/2024 7:02:00 AM,$0.00,4977135,,
Broadway,5,Quiche is very nice,21/10/2024 11:02:00 AM,$8.50,4977136,,
Kapiti  ,5,Great service and food,21/10/2024 9:32:00 AM,$4.50,4977138,,
Te Rapa  ,5,Mitre 10 The Base great service coffee was perfect Americano and the food there were a lot of choices,21/10/2024 9:39:00 AM,$9.80,4977139,,
Ashburton ,5,The staff at Ashburton are always extremely friendly and efficient and the coffee is always excellent. I ask for Extra Hot coffee and it's always made perfectly,21/10/2024 8:58:00 AM,$5.20,4977141,,
Domain,5,Friendly staff,22/10/2024 5:47:00 AM,$5.00,4977143,,
Rotorua  ,5,The friendly and polite staff,19/10/2024 9:37:00 AM,$20.20,4977145,,
Albany  ,5,Very pleasant staff and helpful. The coffee great and food delicious.,21/10/2024 9:09:00 AM,$14.20,4977150,,
Manukau  ,5,Great service,21/10/2024 12:29:00 PM,$35.60,4977152,,
Rosebank Road,4,Friendly & expedient service,22/10/2024 6:04:00 AM,$6.30,4977153,,
Te Rapa  ,4,Have more savoury scones/ muffins,21/10/2024 10:27:00 AM,$10.00,4977157,,
Rotorua,5,"I love the food, how friendly the staff are they always make me smile,and service is quick and orompt",21/10/2024 8:21:00 AM,$25.50,4977162,,
Ashburton ,5,Always friendly and fast service! Great that it is locally owned and operated.,22/10/2024 6:29:00 AM,$8.80,4977163,,
Gate Pa ,5,"Great place at Gate Pa. Always busy. Great food, presentation and service",20/10/2024 9:07:00 AM,$20.40,4977165,,
Masterton  ,5,Pleasant staff and great coffee,21/10/2024 9:35:00 AM,$10.60,4977166,,
Hastings  ,5,"I haven’t visited this cafe in a while and was impressed by the better ‘vibe’ and very friendly efficient staff. Made me feel I could stay, read the paper and keep ordering more coffee! Will definitely visit again.",20/10/2024 10:49:00 AM,$5.00,4977167,,
Domain,5,The conection and relationships with the ABCs staff who work at Middlemore hospital and the very excellent savoury scones,22/10/2024 5:55:00 AM,$4.00,4977168,,
Sylvia Park ,4,make better coffe,22/10/2024 6:39:00 AM,$8.17,4977169,,
Glen Eden,5,Friendly staff and a great hot coffee!,22/10/2024 5:52:00 AM,$6.10,4977171,,
Upper Hutt,5,Very friendly staff and great service,22/10/2024 7:03:00 AM,$9.27,4977178,,
Manukau  ,5,Good food and very pleasant staff helped to make this a very good experience,21/10/2024 10:29:00 AM,$24.80,4977183,,
Levin  ,4,We did have to wait awhile for our coffee we had finished eating our food.Staff are lovely happy and polite.We love the coffee.,21/10/2024 9:06:00 AM,$8.50,4977184,,
Westgate  ,5,"The food item/s I want are always available, good coffee, affordable and is in a lovely setting. The staff are friendly and helpful.",21/10/2024 11:59:01 AM,$10.30,4977185,,
Sylvia Park ,5,Customer service & friendly familiar staff members,22/10/2024 7:18:00 AM,$5.15,4977186,,
Kapiti  ,5,Friendly service,22/10/2024 7:22:00 AM,$27.20,4977187,,
Nelson  ,5,"Friendly service, great food and coffee ,cleanliness",21/10/2024 10:21:00 AM,$10.30,4977191,,
Masterton  ,5,The excellent service from the front of house girls!!,22/10/2024 7:47:00 AM,$0.00,4977192,,
Glen Eden,5,"Nice quick service, nice food to",21/10/2024 7:40:00 AM,$21.60,4977193,,
Petone  ,5,The staff always wow me,22/10/2024 8:01:00 AM,$6.00,4977198,,
Riccarton,5,Great customer service,22/10/2024 8:06:00 AM,$5.40,4977206,,
Nelson  ,5,Great staff. Awesome garden environment,21/10/2024 8:45:00 AM,$11.10,4977207,,
Domain,5,Coffee n scones,22/10/2024 6:37:00 AM,$5.40,4977209,,
Rosebank Road,5,Always great service,22/10/2024 7:14:00 AM,$0.00,4977210,,
Rangiora,5,Very good service in Rangiora..,21/10/2024 9:52:00 AM,$22.30,4977211,,
New Plymouth  ,5,Friendly and efficient service,22/10/2024 8:07:00 AM,$16.50,4977214,,
Pukekohe ,5,friendly service and very good coffee,20/10/2024 12:02:00 PM,$16.40,4977218,,
Queenstown  ,4,Make the coffee slightly hotter,22/10/2024 8:15:00 AM,$5.30,4977222,,
Glen Innes,5,"The team are awesome, the food and drinks always scrumptious!",22/10/2024 7:48:00 AM,$51.80,4977223,,
Gate Pa ,5,Great service,22/10/2024 8:41:00 AM,$5.30,4977225,,
New Lynn  ,5,Consistent high standard. Friendly attentive staff,21/10/2024 8:57:00 AM,$20.40,4977226,,
Palmerston Nth,5,The excellent service an smiles alround. Thank you,21/10/2024 8:27:00 AM,$10.90,4977228,,
Invercargill,5,Great coffee!,22/10/2024 8:12:00 AM,$9.10,4977238,,
Rotorua  ,5,Always great service and quality food and drinks,22/10/2024 8:39:00 AM,$15.30,4977248,,
Cambridge  ,5,Friendly service and good food,22/10/2024 8:50:00 AM,$46.60,4977250,,
London St,5,"Grear service, friendly",22/10/2024 8:50:00 AM,$5.50,4977251,,
Rotorua  ,5,The staff at Mega Rotorua are fantastic,19/10/2024 8:12:00 AM,$24.00,4977260,,
Upper Hutt,5,Service and friendly staff,22/10/2024 7:42:00 AM,$26.40,4977261,,
Manukau Centre,2,I am a very regular client at ABCs Manukau. I always order a large Trim Flat white with 2 sweeteners. Today my coffee was not trim and there was no sweeteners. I had to throw out the coffee as I just could not drink it which was very disappointing,22/10/2024 7:04:00 AM,$9.27,4977262,,
London St,5,"The staff are great, I meet a friend there every Thursday for lunch and they know us by name now. They are always very obliging and friendly.",21/10/2024 12:53:00 PM,$15.80,4977263,,
Whangarei  ,5,Best Mochas and date scones lovely when I have them.,22/10/2024 8:41:00 AM,$10.00,4977266,,
Riccarton,5,Fast service,22/10/2024 8:54:00 AM,$5.40,4977268,,
Levin  ,5,"Lovely setting close to the garden, and courteous friendly staff and service. I was attended with a smile ??",21/10/2024 9:38:00 AM,$4.50,4977272,,
Wellington central,5,Lovee the hot chocolate service is great ??,22/10/2024 7:54:00 AM,$0.00,4977273,,
Whakatane,5,"Customer service , a friendly team , great atmosphere, food is great",21/10/2024 11:30:00 AM,$11.40,4977276,,
Crofton Downs  ,5,Love the App and ability to get points and freebies. Also consistently good coffee,22/10/2024 7:13:00 AM,$5.30,4977279,,
Richmond,5,"Great staff, excellent coffee, and nice selection of food.",22/10/2024 9:00:00 AM,$15.90,4977280,,
Takanini  ,5,Friendly staff,22/10/2024 8:58:00 AM,$5.30,4977281,,
Sylvia Park ,5,Love their Savoury Scones and great team!,22/10/2024 9:04:00 AM,$8.20,4977283,,
Domain,5,Always friendly and welcoming.,22/10/2024 7:28:00 AM,$5.90,4977284,,
Queenstown  ,5,"Always friendly service, great coffee and delicious food!",21/10/2024 11:59:01 AM,$8.50,4977286,,
Aubyn  ,5,The coffee was the perfect temperature and taste. Great service too,22/10/2024 7:25:00 AM,$5.30,4977287,,
Henderson  ,5,I love the selection of food and the service,22/10/2024 9:20:00 AM,$11.30,4977290,,
Glenfield ,5,Friendly customer service and efficiency of staff,22/10/2024 8:00:00 AM,$9.90,4977293,,
Auckland Central,3,If offering to ‘toast’ the croissant make sure it it toasted and not microwaved. It makes a tOtally different eating experience . Toasting is not equal to microwaving it,19/10/2024 7:38:00 AM,$16.25,4977294,,
MT Wellington  ,5,Great coffee and service,22/10/2024 7:35:00 AM,$5.22,4977295,,
Hornby  ,5,Staff are always smiling and happy to see us,22/10/2024 9:20:00 AM,$6.00,4977297,,
Whangarei  ,5,Friendly staff,22/10/2024 9:20:00 AM,$13.70,4977298,,
Pakuranga,5,"Pleasant place to have lunch, clean and tidy. The staff were friendly and the food was excellent. My omlette was devine. I will definitely go there soon for lunch.",21/10/2024 12:26:00 PM,$17.50,4977299,,
Takanini  ,5,The service is always great & the food is as well. Generous servings as well!,19/10/2024 10:32:00 AM,$7.10,4977302,,
Palmerston Nth ,5,Quality of food. Coffee superb,22/10/2024 9:28:00 AM,$13.80,4977305,,
Invercargill,5,Excellent team always smiling ??,22/10/2024 7:43:00 AM,$5.30,4977308,,
Botany  ,5,The staff,22/10/2024 7:37:00 AM,$16.30,4977309,,
Ashburton ,5,"Good coffee, great service",22/10/2024 8:17:00 AM,$10.60,4977320,,
Hastings  ,5,The staff are lovely and friendly. The food is great and coffee fabulous. Which is why I return regularly.,22/10/2024 9:11:00 AM,$9.80,4977321,,
Gate Pa ,5,"Friendly service, great coffee and yummy scone!",22/10/2024 9:03:00 AM,$15.60,4977322,,
Glen Eden,5,"Friendly service, very fast",22/10/2024 8:46:00 AM,$8.80,4977326,,
Glen Eden,5,The staff rock,22/10/2024 9:47:00 AM,$6.30,4977328,,
Hastings  ,5,"The service is great, coffee always exceptional and the staff friendly and welcoming.!!!!!",22/10/2024 8:58:00 AM,$9.54,4977330,,
Nelson ,3,"I have an allergy to dairy, and ABCs charge extra for non-dairy i.e. almond milk, why is that?",22/10/2024 9:30:00 AM,$6.30,4977331,,
Auckland Central,4,"Hi, the coffee is always a good, hot temperature & consistent - so I rate it one of the best in Grafton. I adore the savoury scones with the cream cheese imbedded but, they all tend to run out swiftly! Maybe stock more? Also, I feel sometimes a bit sad for the plants making the plant wall"" they tend to look thirsty quite often - Maybe a schedule to tend them? But",kim.wise@auckland.ac.nz,"$221,020,103,413.00",WJZPJCF,4977334,
Taupo  ,5,"Good food, good service, easy access, plenty of parking.",22/10/2024 6:51:00 AM,$21.15,4977335,,
Botany ,5,"Great coffee, food and service.",21/10/2024 11:36:00 AM,$12.20,4977337,,
Hornby  ,5,Great staff and coffee!,22/10/2024 9:59:00 AM,$7.30,4977341,,
Riccarton,5,Always. Coffee staff and food,21/10/2024 10:09:00 AM,$15.48,4977342,,
Nelson ,5,"Always friendly staff, great coffee and food!",22/10/2024 9:28:00 AM,$5.00,4977343,,
Invercargill,5,Friendly prompt service,22/10/2024 9:09:00 AM,$6.50,4977344,,
Marlborough  ,5,Staff are great and lovely to talk with.Food is always fresh and cabinet clean and tidy,21/10/2024 8:52:00 AM,$10.80,4977347,,
Palmerston Nth,5,The service and food were really lovely,22/10/2024 9:50:00 AM,$10.50,4977350,,
Kapiti  ,4,It's great. always like it there,20/10/2024 8:06:00 AM,$4.00,4977353,,
Glen Eden,5,Delectable date scone plus 2 free coffees for my birthday,22/10/2024 8:31:00 AM,$5.30,4977355,,
Ashburton ,3,Took too long to get coffee otherwise good,22/10/2024 9:49:00 AM,$4.50,4977357,,
Henderson  ,5,Great food and great service at every location we have visited,21/10/2024 11:52:00 AM,$9.00,4977358,,
Nelson  ,5,Service is great and also the friendly staff.,22/10/2024 9:07:00 AM,$17.10,4977360,,
Henderson,5,Fast service polite People,22/10/2024 10:03:00 AM,$12.50,4977362,,
London St,5,"Lovely chai latte. Great sized takeaway cups. Friendly and efficient service.
Probally wouldn't go for food, I felt the food was a bit over priced and didn't look visually appealing but drinks were lovely!",22/10/2024 6:18:00 AM,$5.20,4977363,,
Dunedin  ,5,Good coffee,22/10/2024 9:31:00 AM,$18.60,4977364,,
Rangiora,5,"Must have timed it right, wasn't that busy.",22/10/2024 9:12:00 AM,$5.30,4977367,,
Timaru,5,"Friendly greeting by your staff, prompt service and awesome coffees",22/10/2024 6:49:00 AM,$15.90,4977368,,
Nelson ,5,Good coffee and friendly service,22/10/2024 9:31:00 AM,$5.30,4977369,,
Takanini  ,5,Excellent service by friendly staff. Coffee was perfect.,22/10/2024 8:01:00 AM,$5.30,4977372,,
Riccarton,4,"Friendly staff, however coffee is amazing compliments to the Barista!!",22/10/2024 10:50:01 AM,$4.50,4977374,,
Wanganui  ,5,"Good customer service, great coffee and food.",22/10/2024 9:24:00 AM,$26.00,4977375,,
Invercargill,5,"Nice food, great service",22/10/2024 10:08:00 AM,$11.50,4977376,,
Takanini  ,4,"The star rating is reflective of the question. The service was great and the proximity to work makes it great, but I am not a person who makes recommendations to others, that's all.",21/10/2024 9:56:01 AM,$13.80,4977379,,
Ashburton ,5,The wonderful friendly service & of course the delicious cappuccino.,22/10/2024 10:32:00 AM,$5.30,4977382,,
Pakuranga,5,"Warm welcome, wxcellent service and very good coffee",22/10/2024 7:34:00 AM,$5.30,4977383,,
Albany  ,5,"Lovely coffee, and Service",22/10/2024 9:52:00 AM,$5.00,4977386,,
Wanganui  ,5,"Great staff, good coffee and food",22/10/2024 9:26:00 AM,$15.60,4977387,,
Cambridge  ,5,Great staff and consistent food,22/10/2024 11:00:00 AM,$16.20,4977395,,
New Lynn  ,5,Free Latte and friendly service,22/10/2024 11:02:00 AM,$17.50,4977396,,
Nelson  ,5,Staff are amazing … will miss them when I move cities,22/10/2024 10:15:00 AM,$20.60,4977397,,
Botany  ,5,Clean and tidy - staff friendly and helpful,22/10/2024 10:01:00 AM,$22.00,4977398,,
Henderson  ,5,"Coffee, service all excellent",22/10/2024 9:02:00 AM,$9.00,4977399,,
Te Awamutu  ,3,Lady that served me was very unfriendly not good customer service at all,22/10/2024 9:55:00 AM,$5.00,4977402,,
Whangarei  ,3,smaller healthier cake/slice,22/10/2024 9:43:00 AM,$0.00,4977404,,
Napier  ,5,The friendly and warm staff as well as the surroundings,22/10/2024 10:14:00 AM,$19.70,4977406,,
Taupo  ,5,Friendliness and great service,22/10/2024 10:21:00 AM,$8.30,4977407,,
Palmerston Nth,5,"Superb food and excellent, friendly staff",22/10/2024 10:25:00 AM,$25.60,4977408,,
Napier  ,5,"Awesome barista, counter staff, selection, actually awesome everything. Awesome Awesome Awesome",22/10/2024 8:17:00 AM,$4.77,4977409,,
Te Awamutu  ,5,God for quick service nice surrounds,22/10/2024 11:17:00 AM,$22.20,4977411,,
Masterton  ,5,Food and coffee and staff lovely,22/10/2024 9:05:00 AM,$13.70,4977412,,
Riccarton,5,"Nice coffee,good service",22/10/2024 9:29:00 AM,$14.10,4977416,,
Botany ,5,Strong coffee just how I like it. Excellent service and warm atmosphere,22/10/2024 10:30:00 AM,$30.50,4977417,,
New Lynn  ,3,"Date and orange scone so dry a d crumbly sith hardly any dates. Couldnt eat it. Took it to a long time emplyee wno appologised and gave me a replacement producg. Suggested soakin dates for 30 seconds in boiling water tben drain. Maybe uxe the Edmonds recipe!,",22/10/2024 8:32:00 AM,$4.90,4977418,,
Glenfield ,5,The food is fantastic and the staff is great,22/10/2024 11:25:00 AM,$27.30,4977419,,
Hastings  ,5,Quick service and a HOT drink,20/10/2024 8:38:00 AM,$4.68,4977422,,
Rangiora,5,Delicious coffee and cake,22/10/2024 9:25:00 AM,$9.40,4977423,,
Glenfield ,5,"Good coffee, good service!",22/10/2024 11:23:00 AM,$3.50,4977424,,
Kapiti  ,5,Coffee done exactly as I asked for it (extra hot),22/10/2024 9:35:00 AM,$10.80,4977427,,
Albany ,4,Cheese scone could have been a bit tastier.,22/10/2024 10:11:00 AM,$8.20,4977428,,
Botany ,5,"Nice atmosphere, great service",22/10/2024 10:53:01 AM,$0.80,4977429,,
Glenfield ,5,"Excellent food, and very efficient and pleasant staff",22/10/2024 10:06:00 AM,$18.90,4977430,,
Auckland Central,5,Customer service and great coffee,20/10/2024 7:21:00 AM,$11.20,4977431,,
Domain,5,The staff at MMH ABCs take the trouble to get to know our names and kept a food item out the back for me when they were about to sell out. Fantastic,22/10/2024 8:36:00 AM,$5.00,4977435,,
Nelson ,5,Great service and great food.,22/10/2024 11:04:00 AM,$24.40,4977439,,
Wellington central,5,Good service and good food.,22/10/2024 8:03:00 AM,$102.00,4977440,,
Queenstown  ,5,Staff,22/10/2024 9:29:00 AM,$10.00,4977441,,
Broadway,5,Friendly service.,22/10/2024 11:35:00 AM,$13.00,4977442,,
Palmerston Nth ,5,Friendly staff awesome food and Coffee's quick service ??,22/10/2024 9:14:00 AM,$10.90,4977444,,
Sylvia Park ,3,"I have a free coffee when I asked to use it, was told I couldn’t at this stage. Seemed like the person behind the counter was to busy",22/10/2024 7:13:00 AM,$14.80,4977445,,
Richmond,4,She was friendly but didn't talk much while I was being served.,22/10/2024 7:15:00 AM,$26.90,4977446,,
Rangiora,4,Be a bit more timely with the coffee. I do understand how busy the staff were,22/10/2024 9:43:00 AM,$21.80,4977447,,
Cambridge  ,5,enjoy the staff and good food,22/10/2024 11:43:00 AM,$9.50,4977448,,
Sylvia Park ,5,Great friendly service as always,22/10/2024 8:55:00 AM,$38.00,4977450,,
Whakatane,5,"Best hot chocolate in Whakatane, great friendly staff, and my blueberry and cream cheese was lovely,plus I got two butters to go with it.......will keep going there.",22/10/2024 9:52:00 AM,$10.50,4977451,,
Gate Pa ,4,Faster service,22/10/2024 10:41:00 AM,$38.70,4977452,,
Upper Hutt,3,Deliver the scone at the same time as the coffee. Getting the scone 15 mins before the coffee is not good.,21/10/2024 9:27:00 AM,$13.50,4977453,,
Whakatane,5,the service is great and friendly and food is amazing,22/10/2024 10:10:00 AM,$26.40,4977454,,
Kapiti  ,4,It was a bit slow today but I think they were training someone new and that has to be done.,22/10/2024 9:36:00 AM,$9.90,4977456,,
Rotorua  ,5,Food was good and service,22/10/2024 9:02:00 AM,$49.60,4977458,,
Broadway,5,Fabulous service and the staff were very friendly. Went out of their way to be helpful.,22/10/2024 7:35:00 AM,$4.50,4977463,,
Upper Hutt,5,staff and service were excellent,22/10/2024 9:39:00 AM,$10.60,4977464,,
Te Awamutu  ,5,"Friendly environment people where great the other customers as well, had my 2 grandchildren everyone talked to them and a coffee amongst the flowers on such a beautiful day was great.",22/10/2024 9:54:00 AM,$32.20,4977465,,
Invercargill  ,5,Coffee flavour,21/10/2024 9:25:00 AM,$5.30,4977466,,
Takanini  ,5,The manager was so helpful and sorted out a difficulty we had with our order efficiently and with a friendly manner We have gone back because of this,22/10/2024 9:42:00 AM,$22.00,4977468,,
Takanini  ,4,Upgrade the cafe part,22/10/2024 9:04:00 AM,$3.50,4977469,,
Invercargill  ,5,"Great service, food selection and surroundings. Hood location",22/10/2024 11:09:00 AM,$19.50,4977470,,
Pakuranga,5,"Thank you for your excellent selection of food, coffee, always a pleasure to see wonderful happy welcoming faces & lovely conversations. Simply the Best - Very Best wishes Russell & Sue",22/10/2024 10:28:00 AM,$32.60,4977471,,
Kapiti  ,5,The wonderful staff are always so friendly and are so switched on that they remember my order every time. Lovely food as well.,21/10/2024 9:38:00 AM,$17.50,4977474,,
Manukau  ,5,excellent service,22/10/2024 11:29:00 AM,$0.00,4977475,,
New Lynn  ,5,Lovely staff,22/10/2024 10:27:00 AM,$11.00,4977476,,
Pukekohe  ,5,Customer service and the coffee was fabulous,22/10/2024 10:55:00 AM,$0.00,4977478,,
Upper Hutt,4,oops thought 4 stars was the highest,22/10/2024 9:34:00 AM,$0.00,4977479,,
Masterton  ,5,"1st customer of the day. opened the locked screen, let me and gave me a perfectly made free coffee
Doesn't get any better than that.
Kindest Regards to All,
Lindsay.",22/10/2024 6:33:00 AM,$0.00,4977482,,
Nelson  ,5,"The ingredients in my Paleo bowl were crunchy fresh, flavoursome and delicious.",22/10/2024 10:06:00 AM,$59.00,4977486,,
Takanini  ,5,Always very good at Takanini.Best ABCs out there.Staff are always very pleasant and polite.Nothing is a hassle.,22/10/2024 9:47:00 AM,$20.00,4977487,,
Ashburton ,5,Great coffee and even better service!!,22/10/2024 7:21:00 AM,$15.10,4977492,,
Ferryhead,5,Nice coffee,22/10/2024 12:05:00 PM,$5.30,4977495,,
Hastings  ,5,"quiet atmosphere, nice coffee",22/10/2024 10:25:00 AM,$9.50,4977496,,
MT Wellington  ,5,Great coffee. Friendly service.,22/10/2024 10:15:00 AM,$11.80,4977500,,
Botany  ,5,The Staff were friendly and efficient - my Latte was great :),22/10/2024 11:50:00 AM,$7.50,4977504,,
Invercargill  ,4,just need a little more seasoning - had corn fritter they were lovely but a tad bland.,22/10/2024 11:12:00 AM,$50.50,4977509,,
Te Rapa  ,5,Courtious young man good coffee great service,22/10/2024 11:13:00 AM,$14.50,4977510,,
Manukau Centre,5,Happy friendly staff made my experience all that much better. Always accommodating.,22/10/2024 11:18:00 AM,$26.70,4977512,,
Cambridge  ,5,Had a beautiful coffee with a halloween pumpkin on it very nice ??,22/10/2024 11:07:00 AM,$8.00,4977515,,
Marlborough  ,5,Great service and great coffee,22/10/2024 8:44:00 AM,$10.30,4977519,,
Pakuranga,5,"Super friendly service, great coffee and food! I always sing the praises of Pakuranga ABCs.",22/10/2024 7:12:00 AM,$4.80,4977521,,
Pukekohe  ,5,Happy serving staff and great coffee,22/10/2024 10:18:00 AM,$19.60,4977524,,
Marlborough  ,5,the friendly staff & great food,22/10/2024 8:52:00 AM,$16.30,4977526,,
Napier  ,4,"Wasnt very clean , but the scones were made right they use to be like rocks but a lot better , the doors were open lovely atmosphere just the clean side of thing little grubby",22/10/2024 9:16:00 AM,$32.50,4977527,,
Glen Eden,5,Service with a smile and the staff love getting to know people,22/10/2024 7:58:00 AM,$9.50,4977532,,
Marlborough  ,5,The fantastic friendly service and when our drinks were not finished we were asked if we would like to have a takeaway cup which was unexpected and very nice to be asked.,22/10/2024 9:25:00 AM,$41.00,4977533,,
Glenfield ,5,Consistently good meals and friendly staff,22/10/2024 10:52:01 AM,$20.90,4977534,,
Invercargill,5,Great sraff lovely food,22/10/2024 12:02:00 PM,$22.30,4977535,,
Glenfield ,5,The staff are amazing ??,22/10/2024 11:21:00 AM,$64.70,4977537,,
Takanini  ,5,Service and quality,22/10/2024 8:42:00 AM,$14.20,4977540,,
Henderson  ,5,"The quietness of it, as my friend is deaf we could talk and not have music playing loudly.",22/10/2024 11:15:00 AM,$12.80,4977542,,
Richmond,5,Mango frappe,22/10/2024 10:16:00 AM,$15.00,4977543,,
Rangiora,5,Your lovely service,22/10/2024 8:50:00 AM,$11.30,4977544,,
Cambridge  ,5,The staff there are fabulous,22/10/2024 11:48:00 AM,$36.00,4977546,,
Warkworth  ,4,Much smaller bites other than biscotti,22/10/2024 11:20:00 AM,$26.00,4977547,,
Nelson ,5,Friendly customer service and the great coffee,22/10/2024 9:32:00 AM,$5.30,4977549,,
Marlborough  ,5,"Friendly service, great coffee, good value.",22/10/2024 10:02:00 AM,$20.20,4977553,,
Albany ,5,"yummy food, nice service, relaxing atmosphere",22/10/2024 10:40:00 AM,$22.50,4977555,,
Williams Drive,5,Friendly and prompt service,22/10/2024 11:06:00 AM,$24.60,4977557,,
Taupo  ,5,The friendly staff,22/10/2024 8:56:00 AM,$10.10,4977559,,
New Plymouth  ,5,Friendly staff coffee hot and very clean premises,22/10/2024 9:01:00 AM,$10.30,4977560,,
Pukekohe  ,5,Friendly staff. When I mentioned I ground my own beans the young woman mentioned they sold your brand. It was refreshing to have someone with the 'skill' to offer an option.,22/10/2024 9:38:00 AM,$5.30,4977562,,
Cambridge  ,4,Nothing at present but always need to leave room for future improvement Lovely friendly staff,22/10/2024 11:50:00 AM,$14.50,4977563,,
Ashburton ,5,Great service.,22/10/2024 9:07:00 AM,$10.80,4977564,,
Aubyn  ,5,"Friendly staff, hot coffee and amazing food from the cabinet.",22/10/2024 12:36:01 PM,$26.60,4977565,,
Aubyn  ,5,friendly helpful staff quick service thanks,21/10/2024 12:05:00 PM,$19.30,4977566,,
Wellington central,5,Great customer service!,22/10/2024 11:37:00 AM,$5.80,4977568,,
Taupo  ,4,Cheaper coffee,22/10/2024 9:23:00 AM,$18.10,4977569,,
Crofton Downs  ,5,Nice hot coffee,22/10/2024 12:26:00 PM,$4.50,4977570,,
Kapiti  ,5,Coffee was great!,22/10/2024 10:46:01 AM,$31.80,4977574,,
Invercargill,5,Very friendly. Great coffee.,19/10/2024 2:32:00 PM,$19.30,4977576,,
Napier  ,4,The muffins are too dry,21/10/2024 10:34:00 AM,$16.20,4977577,,
Te Awamutu  ,5,"great coffee, great food",21/10/2024 8:57:00 AM,$13.80,4977579,,
Oamaru  ,5,Service and food and coffee all great,22/10/2024 10:52:01 AM,$37.70,4977582,,
Rotorua  ,5,Friendly service,22/10/2024 10:46:01 AM,$31.00,4977586,,
Newtown,5,The friendly way in which the staff welcome and service me. Always a good bye when I leave.,22/10/2024 9:51:00 AM,$23.70,4977589,,
Kerikeri,4,Better selection of cabinet food,22/10/2024 11:17:00 AM,$11.50,4977592,,
Richmond,5,service with a smile and great food selection,22/10/2024 9:47:00 AM,$4.50,4977597,,
Greymouth  ,5,So polite,22/10/2024 11:10:00 AM,$15.00,4977600,,
Hornby  ,5,Lovely relaxed atmosphere with a great cup of tea.,22/10/2024 10:06:00 AM,$10.50,4977601,,
Glenfield ,5,Had a meal thos time as did my wife. The Eggs Benedict on Rosti Potatoes was great and service pleasant and friendly. My wife had Belgian Waffles but didnt like the skin still being on the banana and found the berries a litle tart to taste.,22/10/2024 10:56:00 AM,$44.01,4977603,,
Rotorua  ,5,I really like the qualityof the food and drinks. The staff are friendly and cherry. We use to go to Bunnings for our cuppa but find the ambionce and atmosphere and quality of the food and drink are wonderfull. No other place can beat Colombus.,22/10/2024 9:26:00 AM,$29.80,4977605,,
Ruakura  ,5,My second home ??,22/10/2024 10:04:00 AM,$14.30,4977607,,
Taupo  ,5,Nice friendly staff and good food,22/10/2024 6:56:00 AM,$47.70,4977610,,
Glenfield ,5,"Always clean , happy staff and great coffee",22/10/2024 12:16:00 PM,$4.50,4977612,,
Rangiora,5,"nice staff , food and coffee",22/10/2024 12:10:00 PM,$12.80,4977614,,
Aubyn  ,5,"Always great food and coffee.
Missed my usual staff today though. Not quite the same vibe. ??",22/10/2024 10:40:00 AM,$10.20,4977615,,
Palmerston Nth ,5,A big group of us today from the Hokowhitu b/club. It was so lovely being called by our christian names. We were all very impressed.Of course as we have found the many times we have had morning tea the service is so friendly. Thankyou.,22/10/2024 9:10:00 AM,$9.00,4977617,,
Taupo  ,4,Have been to a couple throughout country not quite the standard as our local,22/10/2024 9:59:00 AM,$4.80,4977618,,
Gate Pa ,5,Friendly staff,22/10/2024 8:12:00 AM,$10.60,4977621,,
Ferryhead,5,Great friendly service,22/10/2024 9:56:00 AM,$9.63,4977623,,
Gate Pa ,5,"The custard Squares""""",22/10/2024 11:23:00 AM,$36.80,4977624,,
Westgate  ,5,Pleasant service. Coffee good. Food enjoyable,20/10/2024 12:49:00 PM,$14.30,4977625,,
Masterton  ,4,Coffee is not very hot for my liking.,22/10/2024 11:10:00 AM,$24.00,4977627,,
Hornby  ,5,The staff recognising me from previous visits.,22/10/2024 9:25:00 AM,$5.30,4977631,,
Greymouth  ,5,"The new menu was delicious (well, what we ordered: chicken and haloumi salad, and caesar burger with fries). Also the service was excellent.",22/10/2024 10:31:00 AM,$49.00,4977634,,
Whangarei  ,5,Great service and food,22/10/2024 10:21:00 AM,$23.40,4977635,,
Aubyn  ,5,Service and food,22/10/2024 12:40:00 PM,$8.00,4977636,,
